title,date,url,quote,status
As checagens em tempo real do debate UOL/Folha/SBT com os candidatos à Presidência,"26 de setembro de 2018, 15h45",https://www.aosfatos.org/noticias/checagens-em-tempo-real-do-debate-uolfolhasbt-com-os-candidatos-presidencia/,"São Paulo cresceu no Ideb no primeiro ciclo, cresceu no segundo ciclo, perdeu 0,1 no ensino médio. — Geraldo Alckmin (PSDB)",VERDADEIRO
As checagens em tempo real do debate UOL/Folha/SBT com os candidatos à Presidência,"26 de setembro de 2018, 15h45",https://www.aosfatos.org/noticias/checagens-em-tempo-real-do-debate-uolfolhasbt-com-os-candidatos-presidencia/,O meu estado tem a menor mortalidade infantil do Brasil. — Ciro Gomes (PDT),FALSO
As checagens em tempo real do debate UOL/Folha/SBT com os candidatos à Presidência,"26 de setembro de 2018, 15h45",https://www.aosfatos.org/noticias/checagens-em-tempo-real-do-debate-uolfolhasbt-com-os-candidatos-presidencia/,"Quem tem um carro paga imposto, IPVA. Quem tem um jatinho ou um helicóptero não paga nada. — Guilherme Boulos (PSOL)",VERDADEIRO
As checagens em tempo real do debate UOL/Folha/SBT com os candidatos à Presidência,"26 de setembro de 2018, 15h45",https://www.aosfatos.org/noticias/checagens-em-tempo-real-do-debate-uolfolhasbt-com-os-candidatos-presidencia/,Participei de governos que geraram em 12 anos 20 milhões de postos de trabalho. — Fernando Haddad (PT),VERDADEIRO
As checagens em tempo real do debate UOL/Folha/SBT com os candidatos à Presidência,"26 de setembro de 2018, 15h45",https://www.aosfatos.org/noticias/checagens-em-tempo-real-do-debate-uolfolhasbt-com-os-candidatos-presidencia/,Você [Marina] participou desse movimento pelo impeachment para colocar o Temer lá. — Fernando Haddad (PT),VERDADEIRO
"Na reta final, candidatos em São Paulo derrapam ao falar de pandemia, habitação e creches","9 de novembro de 2020, 12h08",https://www.aosfatos.org/noticias/na-reta-final-candidatos-em-sao-paulo-derrapam-ao-falar-de-pandemia-habitacao-e-creches/,"Faz 16 anos que a Cohab não constrói casa, faz 12 anos que não inaugura nada. – ","
"
"Na reta final, candidatos em São Paulo derrapam ao falar de pandemia, habitação e creches","9 de novembro de 2020, 12h08",https://www.aosfatos.org/noticias/na-reta-final-candidatos-em-sao-paulo-derrapam-ao-falar-de-pandemia-habitacao-e-creches/,"De jeito algum. Eu não falei isso [sobre levar a saúde do prefeito Bruno Covas à campanha]. Eu fui perguntado sobre isso e tudo o que falei é que o ""tucanato"" tem o hábito de não cumprir mandato. - ","
"
"Na reta final, candidatos em São Paulo derrapam ao falar de pandemia, habitação e creches","9 de novembro de 2020, 12h08",https://www.aosfatos.org/noticias/na-reta-final-candidatos-em-sao-paulo-derrapam-ao-falar-de-pandemia-habitacao-e-creches/,Há 40 mil imóveis abandonados que devem imposto. - ,"
"
"Na reta final, candidatos em São Paulo derrapam ao falar de pandemia, habitação e creches","9 de novembro de 2020, 12h08",https://www.aosfatos.org/noticias/na-reta-final-candidatos-em-sao-paulo-derrapam-ao-falar-de-pandemia-habitacao-e-creches/,Temos 1 milhão de famílias vivendo com menos de 520 reais por mês. - Post no ,"
"
"Na reta final, candidatos em São Paulo derrapam ao falar de pandemia, habitação e creches","9 de novembro de 2020, 12h08",https://www.aosfatos.org/noticias/na-reta-final-candidatos-em-sao-paulo-derrapam-ao-falar-de-pandemia-habitacao-e-creches/,Hoje nós temos 18 mil crianças sem creche. - ,"
"
"Na reta final, candidatos em São Paulo derrapam ao falar de pandemia, habitação e creches","9 de novembro de 2020, 12h08",https://www.aosfatos.org/noticias/na-reta-final-candidatos-em-sao-paulo-derrapam-ao-falar-de-pandemia-habitacao-e-creches/,Eu nunca usei a expressão casal ou marido e mulher. - ,"
"
"Na reta final, candidatos em São Paulo derrapam ao falar de pandemia, habitação e creches","9 de novembro de 2020, 12h08",https://www.aosfatos.org/noticias/na-reta-final-candidatos-em-sao-paulo-derrapam-ao-falar-de-pandemia-habitacao-e-creches/,As crianças ficaram quatro meses sem receber o voucher de alimentação [durante a pandemia]. – ,IMPRECISO
